gen,idx,total_index,WN,LN,WP,LP,MC,CF,RL,FREQ,AMPRF,TEMP,Area,VOUTMAX,POUT_AVG,PIN_AVG,PCE,PIDBM,DELTAVO,FOM1,FOM2,FOM3,cost
1,16,116,5.00E-07,2.31E-07,6.50E-06,7.86E-07,2,1,333036,9.20E+08,0.5,27,4.10E-10,0.581593,1.00E-06,1.29E-06,77.203,-28.8783,0.0047014,640.501,18496.6,31803.3,607.933
1,17,117,1.96E-05,1.80E-07,1.10E-05,6.83E-07,10,5,112663,9.20E+08,0.5,27,2.02E-09,0.65185,3.71E-06,1.36E-05,27.1876,-18.6522,0.00515715,252.804,4715.35,7233.79,33422.7
1,18,118,5.00E-07,1.80E-07,1.30E-05,1.00E-06,2,3,500000,9.20E+08,0.5,27,8.26E-10,0.659054,8.43E-07,1.19E-06,70.74,-29.236,0.0134977,665.047,19443.3,29501.8,2033.48
1,19,119,1.54E-05,1.80E-07,1.52E-05,4.47E-07,10,2,500000,9.20E+08,0.5,27,1.42E-09,0.576841,6.55E-07,2.64E-06,24.785,-25.7762,0.00261196,203.944,5256.91,9113.27,36258.5
1,20,120,1.67E-05,4.29E-07,2.00E-05,2.82E-07,9,2,10000,9.20E+08,0.5,27,1.33E-09,0.288587,8.07E-06,1.59E-05,50.6582,-17.9792,0.00735156,208.541,3749.4,12992.3,11793.9
1,21,121,2.57E-06,4.44E-07,1.17E-05,8.61E-07,9,1,25755.5,9.20E+08,0.5,27,1.12E-09,0.116725,5.10E-07,2.27E-06,22.4634,-26.4355,0.00181779,37.403,988.767,8470.88,39109.5
1,22,122,1.44E-05,4.80E-07,2.00E-05,8.47E-07,5,2,432524,9.20E+08,0.5,27,9.48E-10,0.496728,5.57E-07,8.71E-07,64.0247,-30.6011,0.00203009,453.662,13882.5,27948,4399.64
1,23,123,3.94E-06,1.90E-07,2.00E-05,1.00E-06,2,2,102005,9.20E+08,0.5,27,6.41E-10,0.462099,2.03E-06,2.57E-06,78.9322,-25.8933,0.0085921,520.302,13472.3,29154.7,368.196
1,24,124,7.39E-06,1.00E-06,1.76E-06,1.00E-06,4,2,444833,9.20E+08,0.5,27,8.18E-10,0.568763,6.98E-07,1.54E-06,45.1926,-28.1126,0.00130931,366.661,10307.8,18123.2,15846.3
1,25,125,2.00E-05,6.15E-07,5.00E-07,6.09E-07,6,2,200651,9.20E+08,0.5,27,1.03E-09,0.19119,1.68E-07,1.71E-06,9.77356,-27.6587,0.000430201,26.6553,737.251,3856.12,56590.9
