gen,idx,total_index,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M,cost
0,19,20,4.910848e-07,3,6,6.168143e-06,8.152746e-06,2,5.408236e-06,3.168541e-05,1,4,3.026542e-07,9.651865e-06,10,1,1.038449,4.307923e-07,3,6,6.812181e-06,3.943297e+09,0.008874793,1.919293,0.9596467,-93.6963,-117.1684,-176.1319,-179.6041,0.1162572
0,20,21,4.114488e-07,3,8,5.858958e-06,5.95535e-06,10,8.929024e-06,4.209648e-05,1,3,1.878115e-07,5.91554e-06,6,3,0.9498699,3.270893e-07,2,8,7.706506e-06,3.589512e+09,0.01348267,1.914003,0.9570016,-93.78786,-119.2532,-173.5908,-179.0561,0.2689946
0,21,22,2.828977e-07,3,9,8.524248e-06,6.802522e-06,9,8.577397e-06,3.003004e-05,1,3,2.18177e-07,9.99618e-06,10,4,1.054659,2.071034e-07,4,8,9.352515e-06,3.039334e+09,0.04173254,2.018232,1.009116,-93.6716,-119.5848,-167.1224,-173.0356,10.3331
0,22,23,3.285736e-07,3,6,7.443518e-06,8.356273e-06,4,5.477195e-06,3.23082e-05,1,4,3.984833e-07,6.756846e-06,8,1,0.856218,2.949211e-07,3,5,5.37304e-06,4.42894e+09,0.005538075,1.796516,0.8982578,-91.90046,-116.0651,-177.3929,-181.5576,0.04831813
0,23,24,3.319674e-07,4,6,7.971006e-06,8.625748e-06,3,6.312999e-06,3.804337e-05,1,2,1.999e-07,5.661724e-06,8,3,0.8655299,2.040207e-07,2,8,5.852519e-06,6.881421e+09,0.01676579,1.984141,0.9920703,-86.17756,-112.5328,-170.6869,-177.0421,0.6839428
0,24,25,2.878395e-07,3,8,5.098794e-06,8.84292e-06,2,5.663252e-06,3.009248e-05,1,6,2.099961e-07,7.956213e-06,5,4,1.134966,3.960465e-07,3,5,9.688726e-06,2.278941e+09,0.01829758,2.085785,1.042892,-91.30385,-116.8811,-165.8346,-171.4119,1.127135
0,25,26,4.830302e-07,2,5,5.045784e-06,7.134048e-06,7,7.797455e-06,4.367086e-05,1,8,2.730207e-07,9.458715e-06,6,4,0.9277367,2.241078e-07,3,8,6.352436e-06,1.201625e+09,0.005714212,1.917829,0.9589146,-98.21496,-122.5721,-172.2408,-176.5979,0.64727
0,26,27,3.339561e-07,1,9,7.874252e-06,8.30177e-06,10,6.972508e-06,4.031667e-05,1,9,3.555062e-07,7.851841e-06,9,4,1.033582,4.665372e-07,2,6,7.274599e-06,9.429653e+08,0.01052062,2.022893,1.011447,-100.9509,-124.9939,-170.2204,-174.2634,0.7763792
0,27,28,4.850477e-07,5,6,6.219819e-06,9.446694e-06,4,9.759342e-06,3.568619e-05,1,5,4.477715e-07,8.812007e-06,10,5,1.037521,3.349825e-07,3,8,9.39411e-06,1.640721e+09,0.0196757,1.977756,0.9888779,-102.5457,-125.4606,-173.9071,-176.822,1.480074
0,28,29,2.062673e-07,2,9,8.15271e-06,8.997017e-06,7,7.367318e-06,3.85917e-05,1,8,4.059013e-07,5.273724e-06,8,4,0.8808349,4.809384e-07,3,8,9.461505e-06,1.071158e+09,0.01373801,2.032052,1.016026,-100.4042,-124.6806,-169.622,-173.8984,0.8761203
0,29,30,4.606993e-07,2,7,8.569857e-06,9.495686e-06,3,8.099345e-06,4.076144e-05,1,3,2.23035e-07,7.966351e-06,6,2,0.9351276,4.675992e-07,2,6,6.861056e-06,4.628315e+09,0.00898007,1.90314,0.9515701,-92.75978,-116.855,-176.5354,-180.6307,0.0753063
0,30,31,3.696026e-07,4,6,6.492248e-06,8.851805e-06,8,5.009934e-06,3.12221e-05,1,6,4.058965e-07,8.223041e-06,7,4,1.18437,2.395264e-07,4,6,9.029445e-06,1.730695e+09,0.01845915,2.025064,1.012532,-98.28395,-122.3827,-170.3862,-174.485,1.256449
0,31,32,2.695589e-07,5,10,7.071779e-06,7.515564e-06,3,8.889377e-06,4.829015e-05,1,9,1.896955e-07,7.65587e-06,8,4,1.040961,4.461619e-07,3,7,9.168714e-06,nil,0.0318224,nil,nil,nil,nil,1e+12,1e+12,3e+12
