cornerNo,proc,VDD,TEMP,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M
20,ss,1.62,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.244013e+09,0.004503988,1.056512,0.5282559,-87.17995,-111.9844,-175.0373,-179.8417
21,ss,1.8,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.024425e+09,0.007290979,1.589468,0.7947341,-92.16983,-117.4053,-177.5637,-182.7991
22,ss,1.8,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.068054e+09,0.007275006,1.466776,0.7333881,-90.78092,-116.1139,-176.2594,-181.5924
23,ss,1.8,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.094227e+09,0.007265604,1.389348,0.6946741,-90.00429,-115.3448,-175.5331,-180.8737
24,ss,1.8,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.132251e+09,0.007249931,1.275732,0.6378659,-88.61624,-113.9202,-174.2191,-179.523
25,ss,1.8,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.144489e+09,0.007243391,1.238333,0.6191667,-88.2841,-113.5216,-173.9115,-179.149
26,ss,1.98,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.939424e+09,0.01170194,1.789882,0.8949408,-93.43491,-118.807,-176.6259,-181.9979
27,ss,1.98,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.982618e+09,0.01132187,1.65943,0.8297151,-91.82125,-117.3729,-175.2312,-180.7829
28,ss,1.98,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.010112e+09,0.01111027,1.576325,0.7881625,-90.86382,-116.4847,-174.4035,-180.0244
29,ss,1.98,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.05163e+09,0.01082042,1.453509,0.7267547,-89.4336,-115.0897,-173.1598,-178.8159
30,ss,1.98,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.065235e+09,0.0107276,1.413048,0.7065242,-89.10331,-114.7026,-172.8903,-178.4896
31,ff,1.62,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.935122e+09,0.007250833,1.471292,0.735646,-92.45733,-117.3623,-177.7194,-182.6244
32,ff,1.62,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.969464e+09,0.007295289,1.368155,0.6840777,-91.00091,-116.0832,-176.2967,-181.3789
33,ff,1.62,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.990108e+09,0.007319989,1.302394,0.6511968,-90.08541,-115.237,-175.4025,-180.5541
34,ff,1.62,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.020613e+09,0.007356473,1.205116,0.6025579,-88.8135,-113.9811,-174.1619,-179.3295
35,ff,1.62,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.030279e+09,0.007366616,1.173023,0.5865113,-88.52513,-113.6407,-173.8843,-178.9998
36,ff,1.8,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.846595e+09,0.01197381,1.67434,0.8371701,-93.72969,-118.7451,-176.6561,-181.6716
37,ff,1.8,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.880983e+09,0.01166493,1.564439,0.7822193,-91.59361,-116.8623,-174.6949,-179.9637
38,ff,1.8,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.90271e+09,0.01149204,1.493493,0.7467465,-91.17282,-116.5713,-174.3776,-179.776
39,ff,1.8,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.936641e+09,0.01125644,1.387319,0.6936595,-89.75285,-115.2589,-173.1075,-178.6135
40,ff,1.8,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.947801e+09,0.01118011,1.352068,0.6760341,-89.42961,-114.8968,-172.8334,-178.3006
41,ff,1.98,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.777945e+09,0.01803302,1.874047,0.9370237,-94.85973,-119.956,-175.8839,-180.9801
42,ff,1.98,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.8116e+09,0.01720108,1.757625,0.8788123,-93.26355,-118.6601,-174.5538,-179.9503
43,ff,1.98,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.833661e+09,0.01673497,1.681808,0.8409041,-92.15876,-117.7398,-173.608,-179.189
44,ff,1.98,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.86907e+09,0.01610215,1.567088,0.783544,-90.66907,-116.439,-172.3491,-178.1191
45,ff,1.98,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.881069e+09,0.01590723,1.528736,0.7643682,-90.27116,-116.0157,-172.0255,-177.77
46,sf,1.62,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.039223e+09,0.005622849,1.45823,0.729115,-92.03462,-116.8437,-178.5823,-183.3914
