gen,idx,total_index,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M,cost
22,24,1175,3.780193e-07,1,6,5.956015e-06,7.267447e-06,5,6.182273e-06,3.873753e-05,1,3,1.8e-07,6.022719e-06,7,2,0.8259271,2.808335e-07,3,5,7.155327e-06,5.068542e+09,0.003354938,1.38599,0.6929951,-72.29166,-100.763,-161.1325,-169.6038,0.0
22,25,1176,3.779926e-07,1,6,5.972796e-06,7.407909e-06,6,7.028868e-06,3.421938e-05,1,3,3.066844e-07,6.308812e-06,9,1,0.845995,3.002118e-07,3,7,7.410151e-06,4.771832e+09,0.003498195,1.246061,0.6230307,-72.99555,-101.4558,-161.1308,-169.5911,0.000684171
22,26,1177,3.992617e-07,1,6,5.562543e-06,7.793863e-06,5,6.220822e-06,3.364972e-05,1,3,1.8e-07,6.562817e-06,8,2,0.784656,2.660435e-07,3,7,7.062608e-06,5.189971e+09,0.002463545,1.063568,0.5317839,-70.99521,-99.4355,-161.3829,-169.8232,0.3189692
22,27,1178,3.953532e-07,1,7,5.965651e-06,8.240067e-06,6,6.565443e-06,3e-05,1,3,2.351513e-07,6.228741e-06,8,2,0.8701868,2.674324e-07,3,7,7.076537e-06,4.915622e+09,0.004502324,1.337827,0.6689133,-74.38382,-102.8295,-161.681,-170.1267,0.0
22,28,1179,3.764795e-07,1,6,6.095033e-06,8.380139e-06,5,6.585188e-06,3.575568e-05,1,3,2.13827e-07,6.343621e-06,7,1,0.8191926,2.315581e-07,4,6,7.158982e-06,4.955049e+09,0.003284082,1.289954,0.6449771,-72.51328,-100.9896,-161.2501,-169.7264,0.0
22,29,1180,3.614923e-07,1,6,5.922302e-06,6.84215e-06,4,6.217013e-06,3.556955e-05,1,3,1.8e-07,6.958058e-06,7,1,0.7910357,2.665687e-07,5,6,6.80744e-06,5.148369e+09,0.002927134,1.219348,0.6096742,-68.85688,-97.41073,-158.4258,-166.9797,6.704402
22,30,1181,3.89189e-07,1,6,6.234362e-06,7.121644e-06,4,6.838782e-06,3.822431e-05,1,3,3.793247e-07,6.991812e-06,7,1,0.8680203,2.914299e-07,3,7,6.999789e-06,4.89701e+09,0.003519162,1.428019,0.7140096,-77.43386,-105.4286,-165.7681,-173.7629,3.723667e-07
22,31,1182,3.559054e-07,1,10,6.41278e-06,8.416578e-06,5,6.635496e-06,3.476126e-05,1,2,2.392316e-07,6.457756e-06,7,2,0.8547171,2.434013e-07,2,7,7.371518e-06,6.94653e+09,0.006667989,1.599024,0.7995118,-79.29474,-107.2694,-167.8902,-175.8648,0.135449
22,32,1183,4.094763e-07,1,6,6.571944e-06,8.0067e-06,6,6.48709e-06,3.649666e-05,1,3,2.064587e-07,6.362819e-06,8,2,0.8572839,2.659596e-07,3,6,7.350395e-06,4.61896e+09,0.003963592,1.357677,0.6788385,-74.707,-103.1113,-162.017,-170.4213,0.003289608
22,33,1184,4.085374e-07,1,6,6.532359e-06,7.583428e-06,6,6.61837e-06,3.427881e-05,1,3,2.807139e-07,6.008949e-06,7,1,0.8246841,2.698371e-07,3,6,7.193396e-06,5.116868e+09,0.003226689,1.279967,0.6399836,-74.25727,-102.5593,-163.3498,-171.6518,1.093943e-05
22,34,1185,3.635042e-07,1,6,5.963062e-06,7.876026e-06,5,6.420394e-06,3.579459e-05,1,3,2.106654e-07,6.846017e-06,7,1,0.8888143,3.114257e-07,3,6,7.721262e-06,4.957796e+09,0.004249579,1.490644,0.7453222,-75.31506,-103.7105,-162.9374,-171.3328,0.0
22,35,1186,3.914229e-07,1,9,6.041958e-06,7.457787e-06,5,6.440886e-06,3.796272e-05,1,3,3.107207e-07,7.523426e-06,7,1,0.8566111,2.891254e-07,3,8,7.553908e-06,4.466287e+09,0.00483451,1.542348,0.7711742,-82.32803,-109.9004,-168.4834,-176.0558,0.008631572
22,36,1187,4.090204e-07,1,7,5.616902e-06,7.359433e-06,6,6.841891e-06,3.848029e-05,1,3,1.8e-07,6.151743e-06,8,1,0.8024363,2.845237e-07,2,7,7.196142e-06,5.054184e+09,0.003038165,1.323665,0.6618323,-74.35337,-102.6944,-163.6003,-171.9413,0.0
22,37,1188,4.118601e-07,1,5,6.486501e-06,8.486928e-06,4,6.400452e-06,3e-05,1,4,2.222997e-07,5.584123e-06,5,1,0.8135652,2.197379e-07,3,5,7.050902e-06,4.863179e+09,0.002569714,1.388071,0.6940356,-74.50107,-102.747,-164.1406,-172.3866,5.646811e-05
22,38,1189,3.857787e-07,1,6,6.203572e-06,7.134961e-06,5,6.671106e-06,3.740329e-05,1,3,2.29987e-07,5e-06,7,1,0.8613213,2.079123e-07,3,7,7.119685e-06,5.095168e+09,0.003727101,1.49691,0.7484552,-77.65247,-105.7984,-166.0819,-174.2278,0.0
22,39,1190,4.290966e-07,1,6,6.234196e-06,7.247722e-06,5,6.514454e-06,3.428644e-05,1,3,2.626176e-07,6.432906e-06,7,1,0.829904,3.139731e-07,3,7,7.394025e-06,5.158706e+09,0.003089188,1.229187,0.6145934,-71.92906,-100.2801,-161.2814,-169.6325,0.0001325048
22,40,1191,3.736949e-07,1,8,6.540567e-06,7.201368e-06,7,7.232967e-06,3.766528e-05,1,3,3.166372e-07,6.631725e-06,5,1,0.9141509,2.755886e-07,3,7,7.123361e-06,4.475671e+09,0.004258207,1.433844,0.7169218,-88.22079,-114.5317,-174.9457,-181.2566,0.007499187
22,41,1192,3.906447e-07,1,6,5.92439e-06,7.329301e-06,4,5.968286e-06,3.528145e-05,1,3,2.508233e-07,6.418067e-06,10,2,0.7791781,2.860431e-07,2,8,7.253504e-06,5.245343e+09,0.002588884,1.157846,0.5789232,-70.2237,-98.68962,-160.4881,-168.954,1.717899
22,42,1193,3.681968e-07,1,6,6.584077e-06,7.249559e-06,5,6.998705e-06,4.030033e-05,1,2,2.46064e-07,6.747143e-06,9,3,0.8769861,2.606498e-07,3,9,6.673873e-06,5.600796e+09,0.004746993,1.189042,0.5945209,-71.56704,-100.1325,-159.7679,-168.3334,0.009642326
22,43,1194,4.200174e-07,1,6,6.323573e-06,7.622584e-06,6,6.8069e-06,3.984404e-05,1,3,2.416347e-07,6.088006e-06,9,1,0.8907544,3.403336e-07,2,8,7.586194e-06,4.562135e+09,0.003989811,1.465294,0.7326468,-77.69583,-105.8833,-164.8697,-173.0571,0.00475438
22,44,1195,3.863904e-07,1,5,6.638672e-06,8.378247e-06,7,6.192159e-06,3.15091e-05,1,3,2.523093e-07,6.114558e-06,6,2,0.8284064,2.699684e-07,3,6,6.778675e-06,5.072937e+09,0.003073255,1.140479,0.5702397,-73.23992,-101.7022,-162.4691,-170.9314,0.0
22,45,1196,4.1246e-07,1,7,5.954267e-06,7.831954e-06,5,6.55611e-06,3.852248e-05,1,2,2.88647e-07,6.55666e-06,8,1,0.8647433,3.06242e-07,4,9,7.241835e-06,5.980577e+09,0.004036841,1.076103,0.5380517,-70.75249,-99.14128,-160.2269,-168.6157,0.7672173
22,46,1197,3.85329e-07,1,5,6.850568e-06,8.236602e-06,6,7.250082e-06,3e-05,1,3,2.709799e-07,5.764769e-06,6,1,0.8196425,1.915012e-07,4,5,6.862537e-06,5.436306e+09,0.002930511,1.137194,0.5685971,-74.14384,-102.5057,-164.1805,-172.5423,0.004348403
22,47,1198,3.788065e-07,1,6,6.028806e-06,7.793183e-06,6,6.353889e-06,3.292088e-05,1,3,1.8e-07,5.994088e-06,8,1,0.8244952,2.185227e-07,3,7,6.947591e-06,5.225008e+09,0.003342577,1.283967,0.6419837,-73.16897,-101.6331,-162.2899,-170.7541,0.0006008117
22,48,1199,4.235929e-07,1,6,6.279233e-06,7.335939e-06,5,6.351459e-06,3.951049e-05,1,3,2.022322e-07,6.33737e-06,7,1,0.8087752,2.302069e-07,3,8,7.249486e-06,4.851806e+09,0.00293251,1.279002,0.6395008,-72.61549,-100.9823,-161.6612,-170.0279,9.673871e-05
22,49,1200,3.886721e-07,1,6,6.348702e-06,7.311807e-06,6,6.705415e-06,3.716103e-05,1,3,2.043293e-07,6.133456e-06,7,1,0.8344671,3.299185e-07,2,7,6.894136e-06,5.132976e+09,0.003473518,1.418391,0.7091953,-75.13493,-103.4746,-163.9346,-172.2743,4.180696e-05
23,0,1201,3.814935e-07,1,6,5.887958e-06,7.29839e-06,5,7.095026e-06,3.408257e-05,1,3,2.022139e-07,6.092504e-06,7,1,0.8407603,2.637972e-07,2,7,7.150281e-06,5.592491e+09,0.003396854,1.420685,0.7103425,-74.20784,-102.5851,-163.8492,-172.2265,0.009325174
23,1,1202,3.994529e-07,1,6,6.839943e-06,7.034541e-06,7,6.929276e-06,3.646115e-05,1,3,2.272109e-07,6.240985e-06,5,2,0.8987368,2.638472e-07,1,9,7.364702e-06,5.059145e+09,0.004539492,1.618053,0.8090265,-84.99373,-112.2586,-172.5052,-179.7701,0.006194012
23,2,1203,4.573016e-07,1,8,5.976014e-06,7.180525e-06,7,6.695204e-06,4.136797e-05,1,2,2.682337e-07,6.645645e-06,8,1,0.8966547,4.091968e-07,3,10,7.0882e-06,5.506312e+09,0.004557016,1.145792,0.5728961,-74.16039,-102.3282,-162.3908,-170.5586,0.006347156
23,3,1204,3.648324e-07,2,6,6.574609e-06,7.798531e-06,5,6.863487e-06,3.924136e-05,1,3,2.387897e-07,6.88825e-06,6,1,0.8703736,2.632955e-07,3,7,7.155518e-06,4.597907e+09,0.006432122,1.738603,0.8693017,-90.96816,-116.3211,-176.1358,-181.4888,0.02910382
23,4,1205,3.799044e-07,1,5,6.982799e-06,8.542339e-06,5,6.886556e-06,3.403367e-05,1,3,3.676868e-07,6.521159e-06,8,3,0.9557946,2.317067e-07,4,7,7.355306e-06,4.07239e+09,0.005234311,1.396802,0.698401,-75.64518,-104.1733,-160.6536,-169.1816,0.02852721
23,5,1206,3.918222e-07,1,6,6.970723e-06,7.475458e-06,6,6.388592e-06,3.855432e-05,1,3,2.351397e-07,6.017032e-06,7,3,0.9173946,2.596647e-07,3,9,7.010867e-06,4.042996e+09,0.005449345,1.517103,0.7585514,-76.90591,-105.3323,-161.6765,-170.103,0.03071957
23,6,1207,4.038252e-07,1,5,6.012222e-06,7.315848e-06,5,6.590971e-06,3.62508e-05,1,3,2.306241e-07,6.523745e-06,6,1,0.8114067,2.858392e-07,3,6,7.321727e-06,5.353831e+09,0.002448182,1.165076,0.5825382,-70.83121,-99.2537,-161.5161,-169.9386,0.5594422
23,7,1208,3.808515e-07,1,6,6.185058e-06,7.680996e-06,6,6.134939e-06,3.155281e-05,1,3,1.823104e-07,5.398669e-06,6,1,0.8009432,2.262292e-07,3,7,7.175266e-06,5.485956e+09,0.003017728,1.218108,0.609054,-72.08319,-100.5287,-162.0714,-170.5169,0.005727118
23,8,1209,4.005093e-07,1,6,6.75661e-06,8.065941e-06,5,6.587172e-06,3.444484e-05,1,3,2.999787e-07,5.657942e-06,7,1,0.8483205,2.686453e-07,2,9,7.085982e-06,5.236289e+09,0.003530957,1.399695,0.6998474,-77.45569,-105.4761,-166.3572,-174.3777,0.0007141334
23,9,1210,3.974093e-07,1,6,6.377447e-06,8.044578e-06,5,6.559455e-06,3.671104e-05,1,3,1.930634e-07,5.851913e-06,8,1,0.8426873,2.785872e-07,3,7,7.321445e-06,4.894454e+09,0.003634687,1.370974,0.6854868,-73.46419,-101.8785,-161.6536,-170.0679,1.280904e-06
23,10,1211,4.04947e-07,1,6,6.846689e-06,7.108329e-06,5,6.47655e-06,3.316799e-05,1,3,2.418999e-07,6.392089e-06,7,1,0.8560147,2.644177e-07,4,8,7.333539e-06,4.800796e+09,0.003968671,1.307912,0.6539561,-72.85211,-101.2403,-160.4919,-168.8801,0.0004098859
23,11,1212,3.549299e-07,1,5,6.208839e-06,6.975344e-06,5,6.604918e-06,3.804624e-05,1,3,1.870956e-07,5.940071e-06,6,1,0.795749,2.850833e-07,3,7,6.989914e-06,5.170977e+09,0.002634291,1.22273,0.6113648,-69.82041,-98.36776,-159.8852,-168.4326,2.664399
23,12,1213,3.863769e-07,1,5,6.610768e-06,7.976583e-06,6,6.518587e-06,3.372651e-05,1,3,2.316634e-07,6.899686e-06,7,1,0.8389324,2.774472e-07,3,6,7.095815e-06,5.135551e+09,0.003155552,1.242706,0.621353,-72.97711,-101.4283,-162.1981,-170.6493,4.859216e-05
23,13,1214,3.487537e-07,1,6,5.869987e-06,7.838283e-06,5,6.341545e-06,3.906585e-05,1,3,2.178511e-07,5.874436e-06,8,1,0.8264566,2.837259e-07,2,7,7.25011e-06,5.164614e+09,0.003427079,1.472827,0.7364133,-73.93275,-102.3913,-162.8443,-171.3028,0.000160515
23,14,1215,3.805438e-07,1,6,6.478602e-06,6.870507e-06,5,6.606601e-06,4.050209e-05,1,3,2.464098e-07,6.838759e-06,7,2,0.8753803,3.319577e-07,2,8,6.95051e-06,4.633355e+09,0.004360751,1.552227,0.7761133,-75.76081,-104.1376,-162.6831,-171.0599,0.004173513
