cornerNo,proc,VDD,TEMP,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M
22,ss,1.8,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.136494e+09,0.007086973,1.374476,0.6872379,-94.14725,-118.8479,-179.856,-184.5566
23,ss,1.8,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.14389e+09,0.006964269,1.267158,0.6335792,-93.86414,-118.2325,-179.6612,-184.0296
24,ss,1.8,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.152495e+09,0.006784082,1.093206,0.546603,-93.67441,-117.3114,-179.5999,-183.2368
25,ss,1.8,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.154257e+09,0.006722883,1.031693,0.5158467,-93.68887,-116.9885,-179.6566,-182.9563
26,ss,1.98,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.100871e+09,0.01057466,1.648986,0.8244928,-90.32901,-117.1237,-174.2392,-181.0339
27,ss,1.98,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.113201e+09,0.01018216,1.497571,0.7487856,-90.79588,-117.0859,-174.8913,-181.1813
28,ss,1.98,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.11952e+09,0.00992702,1.394724,0.6973619,-91.46896,-117.2064,-175.6854,-181.4228
29,ss,1.98,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.127067e+09,0.0095434,1.228797,0.6143987,-92.70449,-117.2441,-177.1048,-181.6445
30,ss,1.98,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.129136e+09,0.009416078,1.169962,0.5849809,-93.09067,-117.1621,-177.5528,-181.6243
31,ff,1.62,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.051797e+09,0.008711386,1.514699,0.7573494,-97.76079,-121.2242,-182.4288,-185.8922
32,ff,1.62,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.056165e+09,0.008409682,1.393455,0.6967275,-96.6038,-120.0602,-181.4324,-184.8888
33,ff,1.62,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.0593e+09,0.008230938,1.307063,0.6535314,-95.56244,-119.0259,-180.4898,-183.9532
34,ff,1.62,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.064253e+09,0.007973164,1.164681,0.5823405,-94.43269,-117.8254,-179.5067,-182.8994
35,ff,1.62,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.06572e+09,0.007888295,1.11426,0.5571301,-94.0118,-117.3425,-179.1348,-182.4654
36,ff,1.8,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.017499e+09,0.01366838,1.706835,0.8534174,-97.47708,-121.2408,-180.1297,-183.8934
37,ff,1.8,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.02265e+09,0.01285248,1.579695,0.7898473,-97.36078,-120.9232,-180.2896,-183.852
38,ff,1.8,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.026076e+09,0.01238734,1.489355,0.7446776,-99.84995,-123.3652,-182.9447,-186.46
39,ff,1.8,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.031605e+09,0.01174663,1.340741,0.6703707,-95.35829,-118.6833,-178.6933,-182.0183
40,ff,1.8,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.033655e+09,0.0115454,1.287967,0.6439833,-95.12835,-118.3932,-178.5419,-181.8068
41,ff,1.98,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,4.988819e+09,0.01919712,1.889377,0.9446884,-98.06114,-122.3346,-179.1887,-183.4622
