gen,idx,total_index,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M,cost
26,26,1327,2.478425e-07,3,10,7.888239e-06,9.364244e-06,8,8.455199e-06,3.547232e-05,1,2,3.270705e-07,7.740573e-06,10,1,0.9260009,5e-07,3,9,5.823663e-06,4.957453e+09,0.009703095,1.485165,0.7425823,-92.61019,-118.2397,-176.6463,-182.2758,0.0
26,27,1328,3.82166e-07,2,7,9.38598e-06,1e-05,9,7.075883e-06,3.284131e-05,1,3,5e-07,6.370782e-06,6,1,0.75,5e-07,3,5,5.982982e-06,4.266286e+09,0.003170947,1.002642,0.5013209,-89.94088,-114.9619,-177.53,-182.5511,0.01672607
26,28,1329,3.990291e-07,5,6,7.958228e-06,5.405586e-06,6,1e-05,3.924219e-05,1,2,4.172702e-07,5.81959e-06,5,2,1.196112,1.8e-07,5,10,9.458396e-06,4.676862e+09,0.008457025,1.297817,0.6489087,-87.11382,-114.1708,-171.2407,-178.2977,0.002073747
26,29,1330,5e-07,3,6,1e-05,6.396005e-06,9,9.253621e-06,4.922176e-05,1,1,4.719213e-07,6.984049e-06,6,1,1.195807,1.8e-07,5,9,5e-06,7.748487e+09,0.005107584,0.7501807,0.3750903,-85.07104,-110.2981,-175.7732,-181.0003,0.2696842
26,30,1331,5e-07,1,6,5e-06,8.774248e-06,9,7.362726e-06,5e-05,1,1,5e-07,6.213796e-06,7,1,1.2,3.511471e-07,4,5,5e-06,8.068777e+09,0.003028522,0.3445775,0.1722887,-83.12149,-105.1328,-176.4453,-178.4566,0.4354803
26,31,1332,4.372094e-07,1,8,5e-06,5.291669e-06,10,6.683462e-06,3.271841e-05,1,2,5e-07,5.075213e-06,9,2,1.039695,4.227368e-07,4,5,9.993306e-06,5.764201e+09,0.0048725,1.069049,0.5345244,-79.03698,-106.5547,-167.3742,-174.892,0.01696128
26,32,1333,5e-07,5,6,1e-05,5e-06,7,7.069118e-06,3e-05,1,3,3.869293e-07,5e-06,8,1,0.9106792,4.78835e-07,4,5,9.298324e-06,4.721257e+09,0.005168971,1.349143,0.6745714,-85.104,-112.3288,-171.4511,-178.6759,0.001330656
26,33,1334,2.194235e-07,2,5,7.362665e-06,1e-05,7,6.054994e-06,3.6e-05,1,2,5e-07,5.976046e-06,9,3,0.885,5e-07,3,10,7.023515e-06,4.603074e+09,0.009195578,1.396604,0.6983022,-81.43459,-109.6651,-165.0598,-173.2902,0.003672002
26,34,1335,3.881776e-07,5,9,5.932668e-06,1e-05,10,1e-05,3.205561e-05,1,3,1.8e-07,7.071853e-06,10,5,0.75,2.723031e-07,1,6,5.765274e-06,3.22893e+09,0.01314295,1.70161,0.850805,-96.43889,-121.4967,-175.4331,-180.491,0.2331511
26,35,1336,1.8e-07,2,6,8.813106e-06,1e-05,7,5e-06,3e-05,1,1,4.401325e-07,5e-06,10,5,0.75,5e-07,5,5,5.482883e-06,7.948042e+09,0.01039523,1.078109,0.5390545,-68.38403,-97.21856,-156.2209,-165.0554,8.049799
