gen,idx,total_index,WN,LN,WP,LP,MC,CF,RL,FREQ,AMPRF,TEMP,Area,VOUTMAX,POUT_AVG,PIN_AVG,PCE,PIDBM,DELTAVO,FOM1,FOM2,FOM3,cost
-1,25,25,1.9741e-05,7.9569e-07,1.56514e-05,8.67318e-07,7,2,337617,9.2e+08,0.5,27,1.15856e-09,0.461097,6.04744e-07,8.99859e-07,67.2043,-30.4583,0.00174654,442.033,13463.6,29199,3166.88
-1,26,26,8.88219e-06,2.62539e-07,1.41648e-05,2.96997e-07,10,4,497567,9.2e+08,0.5,27,1.81308e-09,0.718276,1.02528e-06,7.91791e-06,12.9489,-21.0139,0.00601475,132.675,2788.03,3881.55,51913.6
-1,27,27,3.76661e-06,6.97072e-07,1.72359e-05,6.78904e-07,3,3,163558,9.2e+08,0.5,27,9.28654e-10,0.609112,2.23721e-06,2.75342e-06,81.2519,-25.6013,0.00722288,705.987,18074.2,29673,140.483
-1,28,28,1.5813e-05,6.77011e-07,1.50404e-05,3.65156e-07,3,2,77125.2,9.2e+08,0.5,27,7.32395e-10,0.498187,3.15924e-06,3.98882e-06,79.2023,-23.9916,0.00621421,562.855,13503.8,27105.8,336.132
-1,29,29,2.10164e-06,2.87428e-07,2.57236e-06,2.36458e-07,9,5,454451,9.2e+08,0.5,27,1.90242e-09,0.817914,1.45501e-06,6.11154e-06,23.8075,-22.1385,0.00287535,277.772,6149.45,7518.46,37445.2
-1,30,30,1.13388e-05,2.8433e-07,1.17252e-05,9.88268e-07,4,2,72902.2,9.2e+08,0.5,27,8.29623e-10,0.42405,2.39313e-06,3.88157e-06,61.6537,-24.1099,0.00601358,372.943,8991.63,21204.2,5450.54
-1,31,31,3.77064e-06,2.81976e-07,2.90642e-06,4.549e-07,8,5,472395,9.2e+08,0.5,27,1.80477e-09,0.792634,1.31103e-06,7.38983e-06,17.741,-21.3137,0.00220851,200.593,4275.37,5393.88,45237.8
-1,32,32,1.74406e-05,5.21685e-07,5.51243e-06,7.16306e-07,2,1,441118,9.2e+08,0.5,27,4.26094e-10,0.403007,3.56037e-07,6.12986e-07,58.0825,-32.1255,0.00274172,333.905,10726.9,26617.1,7245.62
-1,33,33,2.21567e-06,3.74368e-07,8.28037e-07,3.19497e-07,5,1,127095,9.2e+08,0.5,27,7.02188e-10,0.575321,2.54045e-06,4.93354e-06,51.4936,-23.0684,0.00213186,422.6,9748.7,16944.8,11226.8
-1,34,34,5.37297e-06,1.85221e-07,3.34726e-06,8.40701e-07,3,4,397798,9.2e+08,0.5,27,1.10762e-09,0.744062,1.37164e-06,9.04089e-06,15.1716,-20.4379,0.00617718,161.03,3291.1,4423.16,48760.1
